Gender,Event,venues,Year,Medal,Name,Country,Time
M,100M Men,Sydney,2000,G,Maurice GREENE,USA,9.87
M,100M Men,Sydney,2000,S,Ato BOLDON,TTO,9.99
M,100M Men,Sydney,2000,B,Obadele THOMPSON,BAR,10.04
M,110M Hurdles Men,Sydney,2000,G,Anier GARCIA,CUB,13
M,110M Hurdles Men,Sydney,2000,S,Terrence TRAMMELL,USA,13.16
M,110M Hurdles Men,Sydney,2000,B,Mark CREAR,USA,13.22
M,200M Men,Sydney,2000,G,Kostas KENTERIS,GRE,20.09
M,200M Men,Sydney,2000,S,Darren CAMPBELL,GBR,20.14
M,200M Men,Sydney,2000,B,Ato BOLDON,TTO,20.2
M,400M Men,Sydney,2000,G,Michael JOHNSON,USA,43.84
M,400M Men,Sydney,2000,S,Alvin HARRISON,USA,44.4
M,400M Men,Sydney,2000,B,Greg HAUGHTON,JAM,44.7
M,4X100M Relay Men,Sydney,2000,G,null,USA,37.61
M,4X100M Relay Men,Sydney,2000,S,null,BRA,37.9
M,4X100M Relay Men,Sydney,2000,B,null,CUB,38.04
M,4X400M Relay Men,Sydney,2000,G,null,NGR,02:58.7
M,4X400M Relay Men,Sydney,2000,S,null,JAM,02:58.8
M,4X400M Relay Men,Sydney,2000,B,null,BAH,02:59.2
M,5000M Men,Sydney,2000,G,Millon WOLDE,ETH,13:35.5
M,5000M Men,Sydney,2000,S,Ali SAIDI-SIEF,ALG,13:36.2
M,5000M Men,Sydney,2000,B,Brahim LAHLAFI,MAR,13:36.5
M,Marathon Men,Sydney,2000,G,Gezahegne ABERA,ETH,02h10:11
M,Marathon Men,Sydney,2000,S,Erick WAINAINA,KEN,02h10:31
M,Marathon Men,Sydney,2000,B,Tesfaye TOLA,ETH,02h11:10
M,100M Men,Athens,2004,G,Justin GATLIN,USA,9.85
M,100M Men,Athens,2004,S,Francis OBIKWELU,POR,9.86
M,100M Men,Athens,2004,B,Maurice GREENE,USA,9.87
M,110M Hurdles Men,Athens,2004,G,Xiang LIU,CHN,12.91
M,110M Hurdles Men,Athens,2004,S,Terrence TRAMMELL,USA,13.18
M,110M Hurdles Men,Athens,2004,B,Anier GARCIA,CUB,13.2
M,200M Men,Athens,2004,G,Shawn CRAWFORD,USA,19.79
M,200M Men,Athens,2004,S,Bernard WILLIAMS III,USA,20.01
M,200M Men,Athens,2004,B,Justin GATLIN,USA,20.03
M,400M Men,Athens,2004,G,Jeremy WARINER,USA,44
M,400M Men,Athens,2004,S,Otis HARRIS,USA,44.16
M,400M Men,Athens,2004,B,Derrick BREW,USA,44.42
M,4X100M Relay Men,Athens,2004,G,null,GBR,38.07
M,4X100M Relay Men,Athens,2004,S,null,USA,38.08
M,4X100M Relay Men,Athens,2004,B,null,NGR,38.23
M,4X400M Relay Men,Athens,2004,G,null,USA,02:55.9
M,4X400M Relay Men,Athens,2004,S,null,AUS,03:00.6
M,4X400M Relay Men,Athens,2004,B,null,NGR,03:00.9
M,5000M Men,Athens,2004,G,Hicham EL GUERROUJ,MAR,13:14.4
M,5000M Men,Athens,2004,S,Kenenisa BEKELE,ETH,13:14.6
M,5000M Men,Athens,2004,B,Eliud Kipchoge ROTICH,KEN,13:15.1
M,Marathon Men,Athens,2004,G,Stefano BALDINI,ITA,2h10:55
M,Marathon Men,Athens,2004,S,Mebrahtom KEFLEZIGHI,USA,2h11:29
M,Marathon Men,Athens,2004,B,Vanderlei DE LIMA,BRA,2h12:11
M,100M Men,Beijing,2008,G,Usain BOLT,JAM,9.69
M,100M Men,Beijing,2008,S,Richard THOMPSON,TTO,9.89
M,100M Men,Beijing,2008,B,Walter DIX,USA,9.91
M,110M Hurdles Men,Beijing,2008,G,Dayron ROBLES,CUB,12.93
M,110M Hurdles Men,Beijing,2008,S,David PAYNE,USA,13.17
M,110M Hurdles Men,Beijing,2008,B,David OLIVER,USA,13.18
M,200M Men,Beijing,2008,G,Usain BOLT,JAM,19.3
M,200M Men,Beijing,2008,S,Shawn CRAWFORD,USA,19.96
M,200M Men,Beijing,2008,B,Walter DIX,USA,19.98
M,400M Men,Beijing,2008,G,Lashawn MERRITT,USA,43.75
M,400M Men,Beijing,2008,S,Jeremy WARINER,USA,44.74
M,400M Men,Beijing,2008,B,David NEVILLE,USA,44.8
M,4X100M Relay Men,Beijing,2008,S,null,TTO,38.06
M,4X100M Relay Men,Beijing,2008,B,null,JPN,38.15
M,4X400M Relay Men,Beijing,2008,G,null,USA,02:55.4
